"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2009043018",13,124.4,15,1010,"DB"
"2","01","2009050100",12.7,124.5,15,1010,"DB"
"3","01","2009050106",12.6,124.3,15,1010,"DB"
"4","01","2009050112",12.7,124.1,20,1007,"DB"
"5","01","2009050118",13,124.1,20,1007,"DB"
"6","01","2009050200",13.2,124.2,25,1004,"TD"
"7","01","2009050206",13.3,124.3,30,1000,"TD"
"8","01","2009050212",13.4,124.4,35,997,"TS"
"9","01","2009050218",13.5,124.5,40,993,"TS"
"10","01","2009050300",13.7,124.7,45,989,"TS"
"11","01","2009050306",14.1,125.2,45,990,"TS"
"12","01","2009050312",14.7,125.9,50,985,"TS"
"13","01","2009050318",15.2,126.7,55,982,"TS"
"14","01","2009050318",15.2,126.7,55,982,"TS"
"15","01","2009050400",15.7,127.5,65,974,"TY"
"16","01","2009050400",15.7,127.5,65,974,"TY"
"17","01","2009050406",16.3,128.5,75,967,"TY"
"18","01","2009050406",16.3,128.5,75,967,"TY"
"19","01","2009050406",16.3,128.5,75,967,"TY"
"20","01","2009050412",16.8,129.7,105,944,"TY"
"21","01","2009050412",16.8,129.7,105,944,"TY"
"22","01","2009050412",16.8,129.7,105,944,"TY"
"23","01","2009050418",17.2,131.2,115,937,"TY"
"24","01","2009050418",17.2,131.2,115,937,"TY"
"25","01","2009050418",17.2,131.2,115,937,"TY"
"26","01","2009050500",17.6,132.7,115,937,"TY"
"27","01","2009050500",17.6,132.7,115,937,"TY"
"28","01","2009050500",17.6,132.7,115,937,"TY"
"29","01","2009050506",18.3,134.1,110,941,"TY"
"30","01","2009050506",18.3,134.1,110,941,"TY"
"31","01","2009050506",18.3,134.1,110,941,"TY"
"32","01","2009050512",18.9,135.5,105,944,"TY"
"33","01","2009050512",18.9,135.5,105,944,"TY"
"34","01","2009050512",18.9,135.5,105,944,"TY"
"35","01","2009050518",19.5,136.9,105,944,"TY"
"36","01","2009050518",19.5,136.9,105,944,"TY"
"37","01","2009050518",19.5,136.9,105,944,"TY"
"38","01","2009050600",20.4,138.4,105,944,"TY"
"39","01","2009050600",20.4,138.4,105,944,"TY"
"40","01","2009050600",20.4,138.4,105,944,"TY"
"41","01","2009050606",21.6,139.9,100,948,"TY"
"42","01","2009050606",21.6,139.9,100,948,"TY"
"43","01","2009050606",21.6,139.9,100,948,"TY"
"44","01","2009050612",22.8,141.5,85,959,"TY"
"45","01","2009050612",22.8,141.5,85,959,"TY"
"46","01","2009050612",22.8,141.5,85,959,"TY"
"47","01","2009050618",24.3,142.7,65,974,"TY"
"48","01","2009050618",24.3,142.7,65,974,"TY"
"49","01","2009050700",26,143.7,55,982,"TS"
"50","01","2009050700",26,143.7,55,982,"TS"
"51","01","2009050706",28.2,145.2,45,989,"EX"
"52","01","2009050712",30.5,147.8,40,993,"EX"
"53","01","2009050718",32.7,151.1,40,993,"EX"
"54","02","2009050218",9.9,111.2,20,1007,"DB"
"55","02","2009050300",9.7,111.3,20,1005,"DB"
