"yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"01,","2019010400,","26N,","1748E,","25,","1002,","TD,"
"01,","2019010406,","28N,","1748E,","25,","1002,","TD,"
"01,","2019010412,","29N,","1747E,","20,","1005,","DB,"
"01,","2019010418,","31N,","1746E,","20,","1005,","DB,"
"01,","2019010500,","33N,","1746E,","20,","1005,","DB,"
"01,","2019010506,","36N,","1748E,","20,","1005,","DB,"
"01,","2019010512,","38N,","1748E,","20,","1006,","DB,"
"01,","2019010518,","42N,","1748E,","20,","1006,","DB,"
"01,","2019010600,","45N,","1747E,","20,","1005,","DB,"
"01,","2019010606,","48N,","1744E,","20,","1005,","DB,"
"01,","2019010612,","51N,","1739E,","15,","1007,","DB,"
"01,","2019010618,","48N,","1734E,","15,","1007,","DB,"
"01,","2019010700,","46N,","1736E,","15,","1007,","DB,"
"01,","2019010706,","41N,","1736E,","15,","1007,","DB,"
"01,","2019010712,","35N,","1732E,","15,","1008,","DB,"
"01,","2019010718,","36N,","1725E,","15,","1008,","DB,"
"01,","2019010800,","37N,","1720E,","15,","1008,","DB,"
"01,","2019010806,","40N,","1714E,","15,","1008,","LO,"
"01,","2019010812,","42N,","1706E,","15,","1008,","LO,"
"01,","2019010818,","41N,","1695E,","15,","1007,","LO,"
"01,","2019010900,","38N,","1683E,","15,","1007,","LO,"
"01,","2019010906,","31N,","1673E,","15,","1007,","LO,"
"01,","2019010912,","22N,","1669E,","15,","1007,","LO,"
"01,","2019010918,","28N,","1656E,","15,","1007,","LO,"
"01,","2019011000,","38N,","1647E,","15,","1007,","LO,"
"01,","2019011006,","47N,","1638E,","15,","1005,","LO,"
"01,","2019011012,","50N,","1626E,","15,","1008,","LO,"
"01,","2019011018,","52N,","1613E,","15,","1008,","LO,"
"01,","2019011100,","52N,","1602E,","15,","1007,","LO,"
"01,","2019011106,","52N,","1595E,","15,","1006,","LO,"
"01,","2019011112,","53N,","1590E,","15,","1008,","LO,"
"01,","2019011118,","54N,","1586E,","15,","1006,","LO,"
"01,","2019011200,","55N,","1583E,","15,","1006,","LO,"
"01,","2019011206,","56N,","1581E,","15,","1006,","LO,"
"01,","2019011212,","56N,","1578E,","15,","1010,","LO,"
"01,","2019011218,","55N,","1574E,","15,","1004,","LO,"
"01,","2019011300,","54N,","1570E,","15,","1004,","LO,"
"01,","2019011306,","53N,","1566E,","15,","1010,","LO,"
"01,","2019011312,","51N,","1560E,","15,","1010,","LO,"
"01,","2019011318,","48N,","1553E,","15,","1010,","LO,"
"01,","2019011400,","46N,","1544E,","15,","1010,","LO,"
"01,","2019011406,","45N,","1536E,","15,","1002,","LO,"
"01,","2019011412,","45N,","1530E,","15,","1002,","LO,"
"01,","2019011418,","45N,","1525E,","15,","1003,","LO,"
"01,","2019011500,","44N,","1521E,","15,","1006,","LO,"
"01,","2019011506,","42N,","1516E,","15,","1006,","LO,"
"01,","2019011512,","40N,","1510E,","15,","1006,","LO,"
"01,","2019011518,","41N,","1503E,","15,","1005,","LO,"
"01,","2019011600,","41N,","1494E,","15,","1006,","LO,"
"01,","2019011606,","44N,","1481E,","15,","1006,","LO,"
"01,","2019011612,","53N,","1471E,","15,","1006,","LO,"
"01,","2019011618,","59N,","1460E,","15,","1006,","LO,"
"01,","2019011700,","59N,","1446E,","15,","1007,","LO,"
"01,","2019011706,","61N,","1432E,","15,","1005,","LO,"
"01,","2019011712,","63N,","1417E,","15,","1005,","LO,"
"01,","2019011718,","63N,","1402E,","20,","1005,","DB,"
"01,","2019011800,","64N,","1389E,","20,","1003,","DB,"
"01,","2019011806,","66N,","1382E,","20,","1005,","DB,"
"01,","2019011812,","69N,","1378E,","20,","1004,","DB,"
"01,","2019011818,","70N,","1365E,","20,","1004,","DB,"
"01,","2019011900,","66N,","1346E,","20,","1005,","DB,"
"01,","2019011906,","65N,","1323E,","20,","1005,","DB,"
"01,","2019011912,","70N,","1310E,","20,","1005,","DB,"
"01,","2019011918,","74N,","1297E,","20,","1004,","DB,"
"01,","2019012000,","77N,","1283E,","20,","1006,","DB,"
"01,","2019012006,","88N,","1274E,","20,","1006,","DB,"
"01,","2019012012,","97N,","1267E,","20,","1005,","DB,"
"01,","2019012018,","103N,","1265E,","20,","1006,","DB,"
"01,","2019012100,","109N,","1264E,","20,","1005,","DB,"
"01,","2019012106,","116N,","1263E,","25,","1004,","TD,"
"01,","2019012112,","126N,","1262E,","30,","1003,","TD,"
"01,","2019012118,","131N,","1262E,","25,","1005,","TD,"
"01,","2019012200,","133N,","1259E,","20,","1007,","DB,"
"01,","2019012206,","126N,","1257E,","20,","1006,","DB,"
"01,","2019012212,","120N,","1257E,","15,","1007,","DB,"
"02,","2019021812,","46N,","1628E,","20,","1007,","DB,"
"02,","2019021818,","49N,","1613E,","20,","1007,","DB,"
"02,","2019021900,","50N,","1597E,","25,","1004,","TD,"
"02,","2019021906,","49N,","1584E,","25,","1001,","TD,"
"02,","2019021912,","46N,","1570E,","30,","1001,","TD,"
"02,","2019021918,","46N,","1559E,","40,","993,","TS,"
"02,","2019022000,","47N,","1546E,","45,","995,","TS,"
"02,","2019022006,","50N,","1536E,","50,","985,","TS,"
"02,","2019022006,","50N,","1536E,","50,","985,","TS,"
"02,","2019022012,","53N,","1525E,","55,","991,","TS,"
"02,","2019022012,","53N,","1525E,","55,","991,","TS,"
"02,","2019022018,","58N,","1513E,","60,","987,","TS,"
"02,","2019022018,","58N,","1513E,","60,","987,","TS,"
"02,","2019022100,","62N,","1504E,","65,","984,","TY,"
"02,","2019022100,","62N,","1504E,","65,","984,","TY,"
"02,","2019022100,","62N,","1504E,","65,","984,","TY,"
"02,","2019022106,","66N,","1496E,","75,","979,","TY,"
"02,","2019022106,","66N,","1496E,","75,","979,","TY,"
"02,","2019022106,","66N,","1496E,","75,","979,","TY,"
"02,","2019022112,","71N,","1488E,","80,","973,","TY,"
"02,","2019022112,","71N,","1488E,","80,","973,","TY,"
"02,","2019022112,","71N,","1488E,","80,","973,","TY,"
"02,","2019022118,","77N,","1480E,","80,","973,","TY,"
"02,","2019022118,","77N,","1480E,","80,","973,","TY,"
"02,","2019022118,","77N,","1480E,","80,","973,","TY,"
"02,","2019022200,","83N,","1471E,","85,","970,","TY,"
"02,","2019022200,","83N,","1471E,","85,","970,","TY,"
"02,","2019022200,","83N,","1471E,","85,","970,","TY,"
"02,","2019022206,","91N,","1461E,","90,","967,","TY,"
"02,","2019022206,","91N,","1461E,","90,","967,","TY,"
"02,","2019022206,","91N,","1461E,","90,","967,","TY,"
"02,","2019022212,","99N,","1450E,","95,","962,","TY,"
"02,","2019022212,","99N,","1450E,","95,","962,","TY,"
"02,","2019022212,","99N,","1450E,","95,","962,","TY,"
"02,","2019022218,","102N,","1441E,","100,","958,","TY,"
"02,","2019022218,","102N,","1441E,","100,","958,","TY,"
"02,","2019022218,","102N,","1441E,","100,","958,","TY,"
"02,","2019022300,","107N,","1437E,","105,","953,","TY,"
"02,","2019022300,","107N,","1437E,","105,","953,","TY,"
"02,","2019022300,","107N,","1437E,","105,","953,","TY,"
"02,","2019022306,","114N,","1432E,","115,","943,","TY,"
"02,","2019022306,","114N,","1432E,","115,","943,","TY,"
"02,","2019022306,","114N,","1432E,","115,","943,","TY,"
"02,","2019022310,","119N,","1429E,","145,","895,","ST,"
"02,","2019022310,","119N,","1429E,","145,","895,","ST,"
"02,","2019022310,","119N,","1429E,","145,","895,","ST,"
"02,","2019022312,","120N,","1428E,","140,","905,","ST,"
"02,","2019022312,","120N,","1428E,","140,","905,","ST,"
